period,date,method,turnover,candidate_count,w_Cnsmr,w_Manuf,w_HiTec,w_Hlth,w_Other
confirmation,2019-05-01,localized,0.0,64,0.07619083009512634,7.662748303700201e-05,0.9231639000248619,3.2987471470804185e-06,0.0005653436498276945
confirmation,2019-05-01,all_gene,0.09768855568795962,64,0.14803630626818345,0.020443134657854974,0.0002878711026854084,0.8293554854646528,0.001877202506623366
confirmation,2019-05-01,random,0.8582231163749754,64,0.3859986460007868,0.0747823309100268,0.5057788888171693,0.01822615246860136,0.015213981803415558
confirmation,2019-05-01,min_variance,0.07081143928587087,1,0.43069939283799147,0.5175972437043382,0.0,0.0517033634576702,0.0
confirmation,2019-05-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-06-03,localized,7.651902754062895e-05,64,0.07619083009512634,1.084554963730615e-07,0.9231639000248619,7.981777468770937e-05,0.0005653436498276945
confirmation,2019-06-03,all_gene,0.3053255586084627,64,0.44510652518498817,0.02672817330490844,0.00015917075077994476,0.5241586272080955,0.0038475035512279014
confirmation,2019-06-03,random,0.45354757230232523,64,0.6956644054138994,0.0034658453858113594,0.12354780203905952,0.12713134449691096,0.05019060266431872
confirmation,2019-06-03,min_variance,0.03558804445723668,1,0.3951113483807549,0.5231008908432918,0.0,0.08178776077595337,6.145146986332082e-17
confirmation,2019-06-03,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-07-01,localized,8.950913457837772e-05,64,0.07628033922970472,1.084554963730615e-07,0.9231639000248619,7.981777468770937e-05,0.0004758345152493168
confirmation,2019-07-01,all_gene,0.2705338970633066,64,0.18203673466676254,0.020509281227564326,8.968972337687361e-05,0.794692524271402,0.0026717701108940946
confirmation,2019-07-01,random,0.5928590394424601,64,0.10280536597143936,0.029315163417188258,0.629657618723604,0.15472091445809932,0.08350093742966914
confirmation,2019-07-01,min_variance,0.010579550367057228,1,0.40568506907286794,0.5125213404762347,0.0,0.08179359045089757,0.0
confirmation,2019-07-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-08-01,localized,7.384259400652489e-05,64,0.07628033922970472,1.084554963730615e-07,0.9231639000248619,5.975180681184488e-06,0.0005496771092558417
confirmation,2019-08-01,all_gene,0.1968684745524122,64,0.3656405896290711,0.03167561051608568,0.00029985559007520085,0.5978240497189898,0.004559894545778066
confirmation,2019-08-01,random,0.0,64,0.10280536597143936,0.029315163417188258,0.629657618723604,0.15472091445809932,0.08350093742966914
confirmation,2019-08-01,min_variance,0.04153594821630535,1,0.3641491208565626,0.5243069646267159,0.0,0.11154391451672162,7.092206001798088e-17
confirmation,2019-08-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-09-03,localized,0.0,64,0.07628033922970472,1.084554963730615e-07,0.9231639000248619,5.975180681184488e-06,0.0005496771092558417
confirmation,2019-09-03,all_gene,0.2482645581777472,64,0.6092035373684144,0.02289631126237275,0.00017815865281729768,0.35846048773221356,0.009261504984182118
confirmation,2019-09-03,random,0.4634501722893274,64,0.5662555382607667,0.019989236128062214,0.2728246620145626,0.08258077193647673,0.05834979166013182
confirmation,2019-09-03,min_variance,0.006618818452526871,1,0.3582464331507949,0.5235908338799566,0.0,0.1181627329692484,3.7649371247891444e-17
confirmation,2019-09-03,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-10-01,localized,5.7469411826649485e-06,64,0.07628033922970472,1.084554963730615e-07,0.9231639000248619,2.2823949851953922e-07,0.0005554240504385067
confirmation,2019-10-01,all_gene,0.23863427093069978,64,0.8478378082991141,0.008703283196613353,0.00011125686690579661,0.13677658135365708,0.006571070283709769
confirmation,2019-10-01,random,0.31211213454621983,64,0.33981336692334363,0.01556247905867261,0.5603999361130683,0.0013375657970695258,0.082886652107846
confirmation,2019-10-01,min_variance,0.008964871826096434,1,0.34928156132469856,0.5261788732607818,1.3962036983755384e-18,0.12453956541451969,7.986577112644307e-17
confirmation,2019-10-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-11-01,localized,2.2790408023504704e-07,64,0.07628033922970472,3.3635957660810854e-07,0.9231639000248619,3.354182844921787e-10,0.0005554240504385067
confirmation,2019-11-01,all_gene,0.08069289711063098,64,0.9266308041543713,0.007880063837893444,0.00010493086936509493,0.05691322959928657,0.008470971539083473
confirmation,2019-11-01,random,0.24646411298259807,64,0.11170156223883972,0.08189188617069672,0.7088194123781247,0.03305279540258701,0.06453434380975188
confirmation,2019-11-01,min_variance,0.06511102117191743,1,0.3863248987395427,0.46106785208886436,0.0,0.15260724917159293,5.930256656311571e-17
confirmation,2019-11-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-12-02,localized,0.0,64,0.07628033922970472,3.3635957660810854e-07,0.9231639000248619,3.354182844921787e-10,0.0005554240504385067
confirmation,2019-12-02,all_gene,0.044235275049588206,64,0.9708660792039595,0.002848605802415295,7.872954769774277e-05,0.020588363356424933,0.005618222089502435
confirmation,2019-12-02,random,0.0,64,0.11170156223883972,0.08189188617069672,0.7088194123781247,0.03305279540258701,0.06453434380975188
confirmation,2019-12-02,min_variance,0.047917555245079485,1,0.4238168023851091,0.4131502968437849,7.259820167187348e-18,0.1630329007711059,1.5171673481633807e-16
confirmation,2019-12-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2020-01-02,localized,0.0,64,0.07628033922970472,3.3635957660810854e-07,0.9231639000248619,3.354182844921787e-10,0.0005554240504385067
confirmation,2020-01-02,all_gene,0.01485198496529308,64,0.9818207389776108,0.0010100309849644426,6.390725812471954e-05,0.00758977549815587,0.00951554728114437
confirmation,2020-01-02,random,0.12163198950471335,64,0.17908054931508915,0.032026796406780335,0.6677474986256207,0.0023578094142940346,0.11878734623821571
confirmation,2020-01-02,min_variance,0.13507727772830008,1,0.5588940801134092,0.27966562690260377,0.0,0.1614402929839871,1.4113289383517253e-17
confirmation,2020-01-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2020-02-03,localized,0.0,64,0.07628033922970472,3.3635957660810854e-07,0.9231639000248619,3.354182844921787e-10,0.0005554240504385067
confirmation,2020-02-03,all_gene,0.006884463999827655,64,0.9887052029774382,0.0005671494129861608,2.586432589158313e-05,0.003309706502979774,0.007392076780704022
confirmation,2020-02-03,random,0.0,64,0.17908054931508915,0.032026796406780335,0.6677474986256207,0.0023578094142940346,0.11878734623821571
confirmation,2020-02-03,min_variance,0.03832672187142849,1,0.5534032915807704,0.24682969356381412,0.0,0.19976701485541556,4.7283088256875393e-17
confirmation,2020-02-03,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
