signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
IndRetBig,2.327518681198812,0.5904994779773508,360,2007,0.25370343222044867,3.5763078850841787,0.3853281917944969,0.30074470363512074
IntMom,1.2409349231874691,0.6754164563153027,1008,2012,0.5442803193743843,1.183849072910842,1.0056707915874845,2.1268139488735556
IntanBM,0.39246081921957127,0.09521593987151274,432,2006,0.24261260031219062,-0.684335806507982,0.2612596718358994,0.6240989275841192
IntanCFP,0.39361159033131915,0.2985384596959284,432,2006,0.7584595246411221,-0.6818020188760606,0.2612596718358994,0.6240989275841192
IntanEP,0.32403518118792796,0.23172561820882642,432,2006,0.7151248742784952,-0.834996553533136,0.2612596718358994,0.6240989275841192
IntanSP,0.5607533188618715,0.18488012860567354,432,2006,0.32969957089315854,-0.3137864854608913,0.2612596718358994,0.6240989275841192
InvGrowth,0.8608265839187778,0.44558078624198605,540,2012,0.5176196862015454,0.3469199920562579,1.0056707915874845,1.0198525133544125
InvestPPEInv,0.7967789499525444,0.2172268001175877,432,2008,0.27263119856583257,0.20589880970229918,0.5093967117530944,0.6240989275841192
Investment,0.25738683910460275,0.07432682249641978,288,2004,0.28877475924949353,-0.9817440197623614,0.013122631918704325,-0.09500888213517249
LRreversal,0.784520058681048,0.4772139298667306,648,1985,0.6082877353945965,0.17890697199653058,-2.3441792472946488,1.3432067373034093
Leverage,0.3551290839096765,0.32316337832997927,360,1988,0.9099884886143896,-0.7665334635752504,-1.971973687418856,0.30074470363512074
MRreversal,0.39487685056369964,0.314672136842371,576,1985,0.7968867670848929,-0.6790161471286388,-2.3441792472946488,1.1343140382789696
MS,1.104692012251532,0.5487053426323113,288,2005,0.49670436334011825,0.8838670876643562,0.13719115187730185,-0.09500888213517249
MaxRet,0.8861230012349923,0.19944457987192324,528,2011,0.22507550260399145,0.40261807890724866,0.881602271628887,0.9799960477134763
MeanRankRevGrowth,0.5428074471325005,0.024920420827150656,276,1994,0.045910241207629425,-0.35330001457865107,-1.227562567667271,-0.17048997901671714
Mom12m,1.3406960070664518,0.8531742264188287,312,1993,0.6363666498012782,1.403504743703359,-1.3516310876258684,0.046949908024801965
Mom12mOffSeason,1.352855615923714,0.8800918325834889,456,2008,0.6505437995188958,1.430277979681394,0.5093967117530944,0.7199892034371634
Mom6m,1.0166762570459411,1.039263360052881,312,1993,1.0222166130569126,0.690072483613677,-1.3516310876258684,0.046949908024801965
Mom6mJunk,2.0904243449440734,0.4533777237509893,228,2007,0.21688310550321246,3.054269496504551,0.3853281917944969,-0.5093337169769787
MomOffSeason,1.2327521969055506,0.41561520222531456,456,2008,0.3371441586302503,1.1658322054062074,0.5093967117530944,0.7199892034371634
MomOffSeason06YrPlus,0.6049775397366829,0.5309497336969622,456,2008,0.8776354473061242,-0.21641283509721815,0.5093967117530944,0.7199892034371634
MomOffSeason11YrPlus,0.17540003840084434,0.043224415201039736,456,2008,0.24643332803758192,-1.1622639680676796,0.5093967117530944,0.7199892034371634
MomOffSeason16YrPlus,0.34956825408201264,0.22082803185815117,456,2008,0.6317164939306601,-0.7787773943593252,0.5093967117530944,0.7199892034371634
MomRev,1.174099260804911,0.07336397225566625,444,2006,0.06248532360489788,1.0366891616240732,0.2612596718358994,0.6726920516852294
MomSeason,0.8125412991394375,-0.06357680263619597,456,2008,-0.07824439533538807,0.24060462132031343,0.5093967117530944,0.7199892034371634
MomSeason06YrPlus,0.7463792467631403,0.079715769569641,456,2008,0.10680330397093478,0.09492787613423842,0.5093967117530944,0.7199892034371634
MomSeason11YrPlus,0.7490963309555085,0.1611407314089829,456,2008,0.21511349708980704,0.10091039885420391,0.5093967117530944,0.7199892034371634
MomSeason16YrPlus,0.5855347847426619,0.45720422243607334,456,2008,0.7808318725880841,-0.2592222275397354,0.5093967117530944,0.7199892034371634
MomSeasonShort,1.3607244373766851,0.12004061941000742,456,2008,0.08821816975774423,1.447603686133177,0.5093967117530944,0.7199892034371634
MomVol,1.593673507127506,1.1403157450452333,372,2000,0.7155265742608591,1.9605149556085624,-0.48315144791568576,0.3588987030787277
NOA,1.0838061346863117,0.01799705389406672,468,2004,0.01660541799689632,0.83788020311683,0.013122631918704325,0.7660577177440937
NetDebtFinance,0.7185302878634665,0.36343320162586495,342,2006,0.5058008100208626,0.03360955931039903,0.2612596718358994,0.20977409274231149
NetDebtPrice,0.5467213411727078,0.09617751198467792,462,2007,0.1759168789321061,-0.34468233534558007,0.3853281917944969,0.7431730378939199
NetEquityFinance,0.7116735997307342,1.0197717461498654,342,2006,1.4329205783883256,0.0185123854160433,0.2612596718358994,0.20977409274231149
NetPayoutYield,0.8833968202277976,1.49354706742342,240,2007,1.6906864879118373,0.39661552666389516,0.3853281917944969,-0.41836310608417104
NumEarnIncrease,0.4997069588940965,0.310308049105735,276,2012,0.6209800435688929,-0.4481994110905824,1.0056707915874845,-0.17048997901671714
OPLeverage,0.3516415398311557,-0.029287105957336256,552,2011,-0.08328682092394078,-0.7742123981276782,0.881602271628887,1.058832941397425
OScore,0.9878486750353846,1.1061040984573869,180,1998,1.1197100592535252,0.6265994175878866,-0.7312884878328808,-0.9285782167790214
OperProf,0.7254259093311245,0.45427415373250185,324,2006,0.6262171613795311,0.04879245729141024,0.2612596718358994,0.1138838168892673
OperProfRD,0.3231087467644222,0.9756887727587079,618,2016,3.0196916132081073,-0.8370363927853567,1.5019448714218746,1.2591370615023991
OptionVolume1,0.752514803892527,0.09656888165439342,178,2012,0.12832821514589796,0.10843725137895933,1.0056707915874845,-0.948394490879504
OptionVolume2,0.5741053753641188,-0.1905061535287833,177,2012,-0.3318313356811148,-0.2843876977430426,1.0056707915874845,-0.9583862811438643
OrderBacklog,0.49631785922468136,-0.29681739229171006,228,2003,-0.5980389115059869,-0.4556615890493858,-0.1109458880398932,-0.5093337169769787
OrderBacklogChg,0.3623828682876827,0.6592545159729051,330,2007,1.8192209777685924,-0.7505619563363349,0.3853281917944969,0.14642671306962732
