date,index_url,index_retrieved_utc,index_sha256,file_count,median_size,invalid_below_half_median,selected_offset_seconds,selected_name,selected_url,selected_size,selected_last_modified,selected_etag,selected_file_time
2025-07-21,https://data.everef.net/market-orders/history/2025/2025-07-21/index.json,2026-08-04T00:48:47.206700+00:00,050a13f5473cd12b2fc19e3f114e17cd27118fedc337ae95478e417cded5d094,48,19269746.0,0,7,market-orders-2025-07-21_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-21/market-orders-2025-07-21_12-15-07.v3.csv.bz2,19291431,2025-07-21T12:20:16.082Z,fe1249c3e168367ffb2b289fadc8212a,2025-07-21T12:15:07Z
2025-07-22,https://data.everef.net/market-orders/history/2025/2025-07-22/index.json,2026-08-04T00:48:47.249271+00:00,05f3f27c3518800e6c9551848e859546978600dc72ec9d2ebed09bb65749bfe6,48,19262836.5,0,7,market-orders-2025-07-22_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-22/market-orders-2025-07-22_12-15-07.v3.csv.bz2,19259064,2025-07-22T12:19:44.407Z,67d6bb21cd8975558a767f44b1b540b1,2025-07-22T12:15:07Z
2025-07-23,https://data.everef.net/market-orders/history/2025/2025-07-23/index.json,2026-08-04T00:48:47.491765+00:00,9e3f58e73446bdd6c49c0d4bd364f107252dcf4e10df3758652d5c0e5b6b5440,48,19247444.0,0,6,market-orders-2025-07-23_12-15-06.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-23/market-orders-2025-07-23_12-15-06.v3.csv.bz2,19237644,2025-07-23T12:20:04.456Z,17c6f3f11551aedbd90ae3d4d0ed251f,2025-07-23T12:15:06Z
2025-07-24,https://data.everef.net/market-orders/history/2025/2025-07-24/index.json,2026-08-04T00:48:47.423406+00:00,3c3d5d9ab409b696c20eee5a25e9058beaedc7e1d3b1dcf0d11c0cd31cac22a9,48,19224837.5,0,6,market-orders-2025-07-24_12-15-06.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-24/market-orders-2025-07-24_12-15-06.v3.csv.bz2,19224945,2025-07-24T12:19:58.959Z,2a7bac6d1d792405314909a111693355,2025-07-24T12:15:06Z
2025-07-25,https://data.everef.net/market-orders/history/2025/2025-07-25/index.json,2026-08-04T00:48:47.316389+00:00,aecb69210b48a214dd8875f010e711f683a03b6d24d1662802f0661e3cccda21,48,19225646.5,0,7,market-orders-2025-07-25_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-25/market-orders-2025-07-25_12-15-07.v3.csv.bz2,19226587,2025-07-25T12:19:50.665Z,538301a9e7fd8cab95134d120b9ff531,2025-07-25T12:15:07Z
2025-07-26,https://data.everef.net/market-orders/history/2025/2025-07-26/index.json,2026-08-04T00:48:47.579260+00:00,5372f062ef213ed633f7ad48a3c0a838229bc6c263c878f8b4f3ea19fba0a3d5,48,19208327.5,0,7,market-orders-2025-07-26_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-26/market-orders-2025-07-26_12-15-07.v3.csv.bz2,19204407,2025-07-26T12:19:59.231Z,7e4feff3c367df9ba518640605f5c116,2025-07-26T12:15:07Z
2025-07-27,https://data.everef.net/market-orders/history/2025/2025-07-27/index.json,2026-08-04T00:48:47.700564+00:00,3077f9abaeebff1e410c5d6d116954beb4c931ba665c0174163ba335ccb783d4,48,19245830.0,0,7,market-orders-2025-07-27_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-27/market-orders-2025-07-27_12-15-07.v3.csv.bz2,19256408,2025-07-27T12:20:14.241Z,bd91c3086ca462158f7fb7d1bbc3a936,2025-07-27T12:15:07Z
2025-07-28,https://data.everef.net/market-orders/history/2025/2025-07-28/index.json,2026-08-04T00:48:48.360518+00:00,0516cc29a2ac897243cf3b6e78ca2bdba9d6c185de30cb5da245ee4deb8ed48c,48,19244803.0,0,6,market-orders-2025-07-28_12-15-06.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-28/market-orders-2025-07-28_12-15-06.v3.csv.bz2,19233633,2025-07-28T12:20:16.122Z,8738d2a4db818e0ce04bb083786c0766,2025-07-28T12:15:06Z
2025-07-29,https://data.everef.net/market-orders/history/2025/2025-07-29/index.json,2026-08-04T00:48:48.541536+00:00,37d4663256dac5508d4853343201035f108bd17e7dee28fcf0fa835360894901,48,19263876.5,0,7,market-orders-2025-07-29_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-29/market-orders-2025-07-29_12-15-07.v3.csv.bz2,19256599,2025-07-29T12:20:07.559Z,5bb53b6f8bff4ab78c55f0377a2d28eb,2025-07-29T12:15:07Z
2025-07-30,https://data.everef.net/market-orders/history/2025/2025-07-30/index.json,2026-08-04T00:48:48.416129+00:00,ae3e98fad3554c4cd2e34349663bde48bbac4b03841bd9b5f9f799b8abe88b01,48,19276613.5,0,7,market-orders-2025-07-30_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-30/market-orders-2025-07-30_12-15-07.v3.csv.bz2,19274211,2025-07-30T12:19:59.100Z,eb3457ee9ed32c20a28b2af98eaf19f9,2025-07-30T12:15:07Z
2025-07-31,https://data.everef.net/market-orders/history/2025/2025-07-31/index.json,2026-08-04T00:48:48.325350+00:00,0bb69aaf28210c781ede6747b0f8b3e375b1276bc697311eb1d5dc518e34758a,48,19274592.5,0,7,market-orders-2025-07-31_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-31/market-orders-2025-07-31_12-15-07.v3.csv.bz2,19273624,2025-07-31T12:20:11.959Z,95a783491ad880160dfb3f3c7a2bebd4,2025-07-31T12:15:07Z
