name,in_sample,post_pub,post_sample,significance,postpub_minus_insample
ebitda_mev,0.004323989230596684,0.0022911928126127614,0.0032755020380477126,1.0,-0.002032796417983923
emp_gr1,0.003606995399380178,0.00043444561982219166,0.001171977772665721,1.0,-0.003172549779557986
eq_dur,0.006423080958784399,0.0022045326500567753,0.011330315364157986,1.0,-0.004218548308727624
eqnetis_at,0.0015818522081817328,0.003290405277753392,0.004103136400180006,1.0,0.0017085530695716592
eqnpo_12m,0.005219455940086241,0.003169679412109546,0.0020085968181773584,1.0,-0.002049776527976695
eqnpo_me,0.0047524137719135075,0.0018120809424931013,0.001864986881552875,1.0,-0.002940332829420406
eqpo_me,0.007296402984541161,0.00046971868342896126,0.0013263597528851685,1.0,-0.0068266843011122
f_score,-0.0019893316150766975,0.0024811572934615813,0.003996310520705385,1.0,0.004470488908538279
fcf_me,-0.013189931263981573,0.005308343863639068,0.0031738176232465644,1.0,0.01849827512762064
fnl_gr1a,0.00027433158987586853,0.002344031698879736,0.0023869701699255645,1.0,0.0020697001090038674
gp_at,0.00011061905095859045,0.001405229472512751,0.0069857177398595,1.0,0.0012946104215541606
inv_gr1,0.0039730695906017,0.001657137516989593,0.0027518959172665833,1.0,-0.0023159320736121066
inv_gr1a,-0.0008622016023910697,0.0012493311519449926,0.0036827647213644567,1.0,0.0021115327543360625
iskew_ff3_21d,-0.0005802742175841778,-0.001456915889040084,-0.0001178120705227584,1.0,-0.0008766416714559062
ival_me,0.00830685296680573,0.003792982389445442,0.0038780004556470734,0.0,-0.004513870577360288
ivol_capm_252d,0.0039025455405765387,0.001326081109889874,0.0014727597956749599,1.0,-0.002576464430686665
ivol_ff3_21d,0.0026582039808445727,0.002814144466924985,0.0006354655957738153,1.0,0.00015594048608041228
kz_index,-0.0011059133675311776,-6.540233596162886e-05,-0.004114134806354228,1.0,0.0010405110315695487
lnoa_gr1a,-0.0009318640189241399,0.0011601782011763362,0.0035489869805859758,1.0,0.002092042220100476
lti_gr1a,-0.0011598699027238462,-0.0004710643692022417,-0.0001492064780832646,1.0,0.0006888055335216045
mispricing_mgmt,0.003898205971729668,0.0026339620769633082,0.004746810733991341,1.0,-0.00126424389476636
