deleted_factor,post_pub_pct,post_pub_t,shift_pct
ret_12_7,-0.16020828606965548,-2.8922832813079395,0.004125245922366905
ret_1_0,-0.16265151844334666,-2.8946657088977057,0.001682013548675726
ret_3_1,-0.165193468530135,-2.9899116387668396,-0.0008599365381126156
ret_60_12,-0.16195123829463692,-2.923721036503622,0.0023822936973854625
ret_6_1,-0.16461505164874074,-2.980864117491725,-0.0002815196567183542
ret_9_1,-0.16548014380719717,-3.0000493552614356,-0.0011466118151747806
rmax1_21d,-0.16374013532500792,-3.040827138144771,0.0005933966670144675
rmax5_21d,-0.16271854943164626,-3.007660000053532,0.0016149825603761214
rmax5_rvol_21d,-0.16363324092399983,-2.959558034922864,0.0007002910680225516
rskew_21d,-0.16470352179951547,-2.985328239191933,-0.0003699898074930874
rvol_21d,-0.16614544569782322,-3.112216551927186,-0.0018119137058008328
sale_bev,-0.16634219768758668,-2.9838347795504725,-0.0020086656955642934
sale_emp_gr1,-0.16462428901052045,-2.9539512714893106,-0.0002907570184980668
sale_gr1,-0.1638827091500109,-2.9651086134075237,0.00045082284201147793
sale_gr3,-0.1618985298730717,-2.937230509047943,0.0024350021189506743
sale_me,-0.164462778154852,-2.957729151657872,-0.00012924616282961043
saleq_su,-0.1663528605150099,-2.9872471145048034,-0.0020193285229875013
seas_11_15an,-0.16464838912617774,-2.9546024043994823,-0.0003148571341553552
seas_11_15na,-0.16382703525264128,-2.9624671154304867,0.0005064967393811071
seas_16_20an,-0.1667260035116995,-2.992602042466612,-0.002392471519677114
seas_16_20na,-0.16449520544258286,-2.987022171195607,-0.00016167345056047888
seas_1_1an,-0.16320892158896166,-2.9326888393188693,0.0011246104030607218
seas_1_1na,-0.16402995845291102,-2.964172308480113,0.0003035735391113681
seas_2_5an,-0.16250271916272277,-2.892525083233919,0.0018308128292996162
seas_2_5na,-0.15853406494599154,-2.899887003023633,0.005799467046030848
seas_6_10an,-0.16543448729621257,-2.963449265197417,-0.0011009553041901876
seas_6_10na,-0.16315552448425374,-2.979646935079782,0.0011780075077686414
sti_gr1a,-0.16619549488688157,-2.980326921444065,-0.0018619628948591815
taccruals_at,-0.16454129316701033,-2.9584158085921866,-0.00020776117498794155
taccruals_ni,-0.16537172886525106,-2.977250780473048,-0.001038196873228675
tangibility,-0.16532341204882828,-2.946025878994684,-0.0009898800568058919
tax_gr1a,-0.16565344850786953,-2.9687335319686015,-0.001319916515847147
turnover_126d,-0.16472880910103288,-3.0159107888893013,-0.0003952771090104945
turnover_var_126d,-0.16775421139200833,-3.0336371925355676,-0.003420679399985943
z_score,-0.16594941728633927,-2.977091394478193,-0.0016158852943168878
zero_trades_126d,-0.16387415798977964,-3.0525120538997146,0.00045937400224274616
zero_trades_21d,-0.1664432488289551,-3.093200195888201,-0.0021097168369327013
zero_trades_252d,-0.16255377445333088,-3.0287205796969388,0.001779757538691501
