seed,family,method,regret,recovery_days,annual_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,evaluated_candidates
10009,confirmation,random,0.32237394648689943,1.0,0.04448350909155909,0.05704674660475063,2.0596692352040185,16.23623849738072,0.7770155685902598,576
10009,confirmation,evolution,0.3134209734038794,1.0,0.05343648217457908,0.09128415609168974,3.2864058449180154,22.58417735344127,0.32135236583290727,576
10010,confirmation,static,0.286612562623793,2.0,0.0421379287277603,0.0694074725968084,2.440796110358288,28.727861330947455,0.9874169943938129,0
10010,confirmation,random,0.30416834560844475,5.0,0.02458214574310853,0.059636103666416744,2.1210694787308015,17.428876327557354,0.8003852440001341,576
10010,confirmation,evolution,0.30644736469712586,1.0,0.022303126654427394,0.0749603653340909,2.880995884005483,14.468405426633192,0.26766541266505073,576
10011,confirmation,static,0.3777573082449285,3.0,-0.14401332601797168,0.0970840705650421,3.4003285388861353,43.53557938819818,0.8904508297943889,0
10011,confirmation,random,0.29857928773475984,3.0,-0.06483530550780306,0.05756019739508606,1.9727295734556596,18.048746159574,0.7862359462464541,576
10011,confirmation,evolution,0.24335597427234074,28.0,-0.009611992045383946,0.055769236661923474,1.7997955635545246,10.831212137723975,0.1553170569140306,576
10012,confirmation,static,0.3001493175571098,1.0,-0.03045525707788408,0.07519743375471595,2.847542002973191,20.57673152011874,0.7525406337619881,0
10012,confirmation,random,0.29479988521134914,1.0,-0.025105824732123454,0.0846961405395574,3.2774284999795067,23.437624033177514,0.7885773149232914,576
10012,confirmation,evolution,0.25688595558777305,21.0,0.012808104891452628,0.05311539968865353,2.016373098711742,9.49719819621006,0.20307313926284418,576
10013,confirmation,static,0.3712007253686206,1.0,-0.06811313766718011,0.08361205491835881,3.1368470186125887,25.933362431311057,0.7082272096560226,0
10013,confirmation,random,0.3459122423942915,1.0,-0.042824654692851044,0.05416423622482544,1.9075814037260503,17.407778612061936,0.7988364055041701,576
10013,confirmation,evolution,0.3451867783009841,1.0,-0.04209919059954362,0.08032962435884498,3.201531436587156,32.634422270132916,0.3616804188265644,576
10014,confirmation,static,0.30282908734576586,5.0,-0.0008171917947532598,0.07927205866101174,2.6672999630088845,26.26808213723543,0.8735655049935581,0
10014,confirmation,random,0.29620996659877213,12.0,0.005801928952240458,0.061835594383119065,2.121293274379222,20.496571092924672,0.9411298542667565,576
10014,confirmation,evolution,0.2982298228253097,13.0,0.0037820727257029327,0.06061755460728932,2.0282951423087856,20.835630071228717,0.24363453210186659,576
10015,confirmation,static,0.23098174296913118,1.0,-0.09508628448114062,0.04322038514123085,2.107829757071998,14.579875776902947,0.9138939296453434,0
10015,confirmation,random,0.19673836351079776,1.0,-0.06084290502280719,0.03125805742272852,1.4691379911292282,10.709807921896354,0.8089817724289232,576
