seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,evaluated_candidates,mean_distance,local_share,hybrid_share,global_share
80002,correlation_break,gate,-0.10113991927502572,-0.0330985650296681,0.07510354649768365,3.119998389233742,23.92583507070285,576,2.7268296536491516,0.08333333333333333,0.08333333333333333,0.8333333333333334
80003,correlation_break,evolution,0.05568555716989344,0.11656911242655549,0.10915521772153869,3.7663646779851203,4.922154432611897,576,,1.0,0.0,0.0
80003,correlation_break,random,0.09368654719758902,0.12354633531351782,0.09547737884016137,3.063518951318401,6.015634993441503,576,,0.0,0.0,1.0
80003,correlation_break,hybrid,0.08678619357034595,0.12010678065258017,0.09742684956524045,3.1641181098215636,7.436197641721639,576,,0.0,1.0,0.0
80003,correlation_break,gate,0.08895505707747015,0.12386068656660393,0.09314765081088637,2.9631857644001047,5.9788494011909386,576,2.7563632799072324,0.16666666666666666,0.0,0.8333333333333334
80004,correlation_break,evolution,0.010959000772563673,-0.004687938389985228,0.05520350647504626,2.1154984250662414,9.576368245450366,576,,1.0,0.0,0.0
80004,correlation_break,random,-0.004675011465448025,-0.003420070707351715,0.07154246935368228,2.818157473209508,11.390234184325223,576,,0.0,0.0,1.0
80004,correlation_break,hybrid,-0.022571790520522033,-0.01231743339085401,0.06868846658965895,2.746262876749689,10.460402399835294,576,,0.0,1.0,0.0
80004,correlation_break,gate,-0.03943531173041681,-0.008220166186534993,0.0649179818286994,2.629897682224224,14.63155371464266,576,2.915540981371592,0.08333333333333333,0.08333333333333333,0.8333333333333334
80005,correlation_break,evolution,0.20231673296443453,0.050783938109812854,0.10426263911724208,3.059673234530353,26.287332992574136,576,,1.0,0.0,0.0
80005,correlation_break,random,0.23399665570444111,0.07830281434242187,0.12173931168149468,3.4252213791222674,21.289604607692947,576,,0.0,0.0,1.0
80005,correlation_break,hybrid,0.2030285091437432,0.057585650554639774,0.11705698801239196,3.496601851764558,20.145327314237107,576,,0.0,1.0,0.0
80005,correlation_break,gate,0.2131937570596758,0.05399524158458394,0.11400388301664807,3.2541506921373915,16.401695133098947,576,2.9064339996924136,0.08333333333333333,0.16666666666666666,0.75
