run,selected_train_mean,selected_test_mean,chosen_filter
383,0.12387743043145896,-0.021889856059681415,36
384,0.1208006053023193,-0.04516243782945851,29
385,0.1060876531277484,-0.09470720982334176,1
386,0.09153762997229592,0.1188467723449476,38
387,0.1593358765027651,0.00937592388720063,21
388,0.04005614118464139,0.025242562763926887,42
389,0.022813181302031214,-0.08157663306411499,4
390,0.12080713149458663,0.10043303496758632,16
391,0.12263414134329387,-0.031803987378685124,30
392,0.1354885182044783,-0.13036647865569462,21
393,0.13450727071821844,0.053990639219432236,6
394,0.055585990759277656,0.017387189722304807,32
395,0.09790934324505618,0.056547993694225626,47
396,0.07709534347050546,-0.04807613612103921,30
397,0.1295955222100435,-0.014980078657447916,39
398,0.16857668739425408,0.09415180224582369,47
399,0.14654024402010016,-0.0468304946075111,13
400,0.18514084224102154,0.03526428947746648,26
401,0.09189519866408997,0.003031901834946114,3
402,0.13963241002450744,-0.032102428765650184,21
403,0.07659629540305303,-0.07767887826990404,40
404,0.0903054873466436,0.05279962726569364,0
405,0.13576971072299665,0.001938472550334684,5
406,0.14094171560901722,0.0840262911805362,34
407,0.12669310480205984,0.1659633903692631,29
408,0.04947247390290942,-0.05353684429438371,16
409,0.12995572046811701,-0.09320305185608044,19
410,0.24650496477324574,0.11603602066127097,36
411,0.09451332401165244,-0.00036949210977904866,0
412,0.10173554843836932,-0.03831810795662291,34
413,0.21789577480821198,-0.10990581445860138,18
414,0.05908338690214928,0.07449963328040608,13
415,0.06384722304453798,0.03548087380206262,35
416,0.06545211915981443,-0.022754304372416267,27
417,0.14010766813447945,0.015168873092848048,25
418,0.08853320736822026,0.06293514114384229,10
419,0.0208904693518788,0.13912114535443287,47
420,0.0926888050034096,0.07892042657973723,13
421,0.11412850405753595,0.037785321904506355,29
422,0.08705837621136893,-0.06117659309636499,7
423,0.10986961785529743,0.03528927654499623,9
424,0.16867395694354553,0.024014402505636266,39
425,0.1958279857988262,7.061335728821577e-05,29
426,0.13563195210582213,-0.09053708354637695,37
427,0.0313329701779951,0.08728287152584294,46
428,0.021740509724509915,0.004951801942419026,27
429,0.0970221938667775,0.03255932668148217,4
430,0.12941194881191004,0.01667845936886974,29
431,-0.03412282843451721,-0.023355749968990532,43
432,0.06361447311244549,0.12337901556206926,5
433,0.11672006098306822,-0.08240294033213162,39
434,0.08004154746063083,0.014980324831948588,42
435,0.050674519415090276,-0.06043347656885177,6
436,0.1364801792116518,-0.02669203028039841,41
437,0.10382058081737564,-0.018252694746367332,15
438,0.0008820860221128086,0.10533488783087394,29
439,0.04599157232925175,0.12997726039210344,47
440,0.12750159402065073,-0.08196859576474137,20
441,0.03338236111767882,-0.001376306224121314,41
442,0.014307329201480798,-0.08680926202126762,25
443,0.1360816888443298,-0.15166767204961584,23
444,0.10606346666559645,0.04210341214828624,4
445,0.1340956529341671,0.07974928415315413,28
446,-0.0666699536533571,-0.05917723898619621,49
447,0.11174190875543331,0.03126851018016179,2
448,0.04302045261031904,0.09245163461112603,25
449,0.0619247551510198,0.1400839068635269,30
450,0.11649566437389083,0.07031538072830015,13
451,0.05234113382878787,0.03548241005240485,20
452,0.10920093359548977,-0.027591801631692114,37
453,0.03802868444529503,-0.020000085490435873,32
454,0.12557283968132146,0.011887915636580154,46
455,0.08476129482145009,-0.05601394443296615,0
456,0.11011449921435626,0.0019624996992351888,24
457,0.10626676821633525,-0.07977400966428862,13
458,0.08139836526412336,0.012212773644252188,22
459,0.06258006188907766,-0.02708891328708723,2
460,0.08952813149228873,-0.0761669133021561,22
461,0.08635991685436267,-0.021045560277769805,30
462,0.06369679561724187,0.011703586486528314,7
463,0.12814856643786685,0.03117072450221958,8
464,0.039993900540446506,-0.0066457415984446854,19
465,0.09914595949276243,0.09281655935271553,21
466,0.13608303313525635,-0.030671032968904596,32
467,0.11280368376815436,-0.033479307967279576,30
468,0.10679249692751881,-0.06461222637098633,3
469,0.10763631711211978,-0.007251616849979151,41
470,0.07810527149229225,0.036519928019494594,27
471,0.08308905744003107,0.09824139664751372,14
472,0.11095887432929256,-0.009288981852927874,4
473,0.10151609621736643,-0.0006489237417515743,9
474,0.05430361997291117,0.015499703644229243,11
475,0.1323072837222132,-0.08836199111377406,10
476,0.07905041755768645,-0.02145698878199365,18
477,0.06043265025106666,0.003444199042995711,25
478,0.08272923312365574,-0.04053905256729726,17
479,0.11977860301419221,0.01765897044713335,26
480,0.0745407167885178,-0.0009193346140489311,16
