signalname,in_sample,post_sample,post_pub
RevenueSurprise,0.7313062114211061,0.5927592370871105,0.37449178161991337
RoE,0.32123897876546714,0.5441476848170268,0.3796178159442777
SP,0.7111349640154038,1.5759453872829583,0.8830331277187278
STreversal,2.9679188578960907,2.987964717462687,1.6089490651773635
ShareIss1Y,0.7132510398957802,0.9104265154557581,0.8547613638601078
ShareIss5Y,0.5394836426140427,0.5057596759879016,0.877460876245249
ShareRepurchase,0.31412167378105316,-0.12026480712323005,0.28456864675864163
ShareVol,0.7368070308454938,0.04837777014627955,0.054294481130510656
ShortInterest,0.8250633249999367,0.659193781721754,0.9829098943035568
Size,0.4967133669589979,0.8396686026306494,0.04799398437550664
SmileSlope,1.821287213974395,1.0803391617620206,0.8514126948882719
Spinoff,0.39561856352738,0.23851837342503399,-0.029383692975903358
SurpriseRD,0.29276399961763716,0.0867634134416966,-0.026660059911188246
Tax,0.43583769307098497,0.5987979624120704,0.36591001211666246
TotalAccruals,0.28281164574399126,0.8004030267336498,0.016780883367633493
TrendFactor,1.7301283276672101,-0.05103575490619672,0.18124611974099025
UpRecomm,0.6520710993403098,0.9417741661884024,0.1838158930501851
VarCF,-0.5513246467884283,-0.09429034984738002,-0.05827498524390223
VolMkt,0.4377597985046694,0.5650914201712707,0.36842281556398637
VolSD,0.38413742640598925,-0.059347209207332594,0.008500878461105688
VolumeTrend,0.5347039783151969,0.951852393205109,0.6850827826747462
XFIN,1.0960154696302178,1.256341319228846,1.2343492268428462
betaVIX,1.089992422494382,0.4130760994992198,0.2027858453440379
cfp,0.3638634765582628,-0.24917837444042862,0.9325587488734678
dCPVolSpread,1.3433018844157898,0.2079887571695559,0.6838453024111171
dNoa,1.0528583264111206,1.2448895125505228,0.2008261778755007
dVolCall,0.875190177324769,-0.1831114016830151,0.5942878829652455
dVolPut,0.3846302012647519,0.32828369620853204,0.22742561229081426
fgr5yrLag,0.8460562425196883,-0.09491217061240981,-0.0005117376416024051
grcapx,0.5241457086548569,0.48012567031486353,0.18856432925549266
grcapx3y,0.5934627243991407,0.48232566247635833,0.05482959416750662
hire,0.5078709811520896,0.3534364550077969,0.1918695480781045
iomom_cust,0.4222731394386097,0.6064353614620791,0.049067233523726404
iomom_supp,0.6632542741681782,0.08141849125599054,0.05348360290443925
realestate,0.3014658581869073,-0.036166586264125875,0.1350008617522643
retConglomerate,1.3655144661247602,-0.07113491461149384,0.302587953882855
roaq,1.587183304321806,0.50527950642172,1.2912829355289293
sfe,0.8319624710710086,-1.4336751525932518,0.7396532905432246
sinAlgo,0.2626242438427024,-0.23933082988057253,-0.07649074343294102
skew1,0.638163920782595,0.47152119285404387,0.1812876519618288
std_turn,0.7705752904651217,0.9960482398504671,-0.03432255736567836
tang,0.7077912611796457,0.23508527466953896,-0.10251582666558486
zerotrade12M,0.6302654433261234,-0.03671106527658233,0.1817430471422041
zerotrade1M,0.6309574388216717,0.17952121735984977,0.2554212445252668
zerotrade6M,0.6254915067905752,-0.03585807504722535,0.2629122314043557
