signalname,pre_corr,post_corr,pre_n,post_n,change
TrendFactor,-0.02639053134188557,0.10833141088916225,120,96,0.13472194223104783
UpRecomm,0.02434896052081142,0.01352360184415128,96,120,-0.010825358676660141
VarCF,-0.8441701792653271,-0.5273003557575712,120,120,0.31686982350775594
VolMkt,0.19116796849127904,0.07424868852808568,120,120,-0.11691927996319336
VolSD,0.6058714353897511,0.4106477066934871,120,120,-0.19522372869626398
VolumeTrend,0.628548841860379,0.5864950950556475,120,120,-0.04205374680473151
XFIN,0.7021883580232707,0.4097830929810951,120,120,-0.2924052650421756
betaVIX,0.2533068206598462,0.2231218616462962,120,120,-0.030184959013550033
cfp,0.5576388223474024,0.06292797492594827,120,120,-0.4947108474214541
dCPVolSpread,0.16395935928293937,0.10626827171902442,120,97,-0.057691087563914945
dNoa,0.27587499567820933,-0.10017793051632963,120,120,-0.37605292619453895
dVolCall,-0.22765293098653525,-0.23744239860684466,120,97,-0.009789467620309411
dVolPut,0.24787616720518402,0.18377801560878987,120,97,-0.06409815159639415
fgr5yrLag,0.181479356305137,-0.01079436698409612,120,120,-0.19227372328923312
grcapx,0.616616657168601,0.20416333800792014,120,120,-0.4124533191606809
grcapx3y,0.42384242435939934,0.20981131590782728,120,120,-0.21403110845157206
hire,0.09485695299726281,0.5598426182545236,120,120,0.4649856652572608
iomom_cust,0.31832485273577343,0.2686487779839022,120,120,-0.049676074751871246
iomom_supp,0.34884302776925974,0.1374950206004274,120,120,-0.21134800716883234
realestate,0.1706267490769763,0.24353843150441323,120,120,0.07291168242743692
retConglomerate,0.057065681665873516,0.07082124404626028,120,120,0.013755562380386763
roaq,0.6630156585119339,0.5431875603339459,120,120,-0.11982809817798801
sfe,0.5355521854181615,0.46088086817050344,120,120,-0.07467131724765808
sinAlgo,-0.027205911161669556,-0.34850582172987843,120,120,-0.3212999105682089
skew1,0.2548478549188719,-0.14664554550177966,120,120,-0.40149340042065157
std_turn,0.541122960673666,0.27850329314929667,120,120,-0.2626196675243694
tang,-0.3640045782418267,-0.42904150922379364,120,120,-0.06503693098196694
zerotrade12M,0.7590598926588027,0.7603977281914516,120,120,0.0013378355326488789
zerotrade1M,0.7249959693874668,0.775184381023254,120,120,0.050188411635787245
